S.No,Book Id,Author,Title,Genre,Language,Publisher,Year,Book Price
70,BK00070,G.P. Srivastava,"History of Indian
Pharmacy",Classic,Arabic,Pindaras Ltd.,1988,3399
71,BK00071,E.B.Havell,Aryan Rule In India,Literature,Arabic,George G. Harpar & Co.,1992,1299
72,BK00072,Jadunath Sarkar,"Fall of The Mughal
Empire Vols.2 &4",Fiction,Arabic,M.C. Sarkar & Sons,1999,2699
73,BK00073,Rhys Davids,Buddhist India,Fiction,Arabic,Susil Gupta Ltd.,1990,2599
74,BK00074,John J. Pool,Famous Women of India,Cultural,Arabic,Susil Gupta,2007,2699
75,BK00075,A.J.Arberry,The Legacy of Persia,Cultural,Arabic,"At The Clarendon Press,
Oxford",1973,1599
76,BK00076,Ministry of Transport,Bridging India's Rivers,Fiction,Arabic,Publications Division,1943,1199
77,BK00077,Rahman Pazhwak,"Aryana- Ancient
Afghanistan",Fiction,Arabic,The Key Press Ltd,1975,2399
78,BK00078,Narendra Krishna Sinha,Rise of The Sikh Power,Fiction,Arabic,University of Calcutta,1952,3499
79,BK00079,Haroon Khan Sherwani,Bahmanis of The Deccan,Fiction,Arabic,Saod Manzil,1983,2499
80,BK00080,Karl M. Herrligkoffer,Nanga Parbat,Fiction,Arabic,Elek Books,1999,899
81,BK00081,E.P. Veerasawmy,Indian Cookery,Education,Arabic,Arco Publishers Ltd.,1951,1899
82,BK00082,Rabindranath Tagore,Fruit Gathering,Literature,Arabic,Macmillan,1983,699
83,BK00083,Rabindranath Tagore,Poems of Kabir,Literature,Arabic,Macmillan,1998,3299
84,BK00084,Teja Singh,Highroads of Sikh History,Literature,Arabic,Orient Longmans Ltd.,1978,899
85,BK00085,Teja Singh,"High Roads of Sikh
History",Fiction,Arabic,Orient Longmans,1949,1199
86,BK00086,Krishna Hutheesing,The Story of Gandhiji,Historical Fiction,Arabic,Kutub,1959,1799
87,BK00087,"Acharya Rajendranath
Sastri","""Hindi Pathavali""",Fiction,Arabic,Navajivan Prakasan,1981,899
88,BK00088,Prof. Vijayendra,Shiksha Vinodh,Fiction,Arabic,Rahi Bode Depol,2001,1399
89,BK00089,Prof. Vijayendra,Siksha Vinodh,Fiction,Arabic,Rahee Book Dept.,1942,899
90,BK00090,Joseph E. Spencer,Asia East By South,Cultural,Arabic,John Wiley & Sons,1976,2799
91,BK00091,Sri Aurobindo,Kalidasa,Literature,Arabic,Oxford University Press,2013,3499
92,BK00092,B.J. Chacko,Sardar K.M. Panikkar,Biography,Arabic,Mathrubhumi Press,1946,2999
93,BK00093,Rammanohar Lohia,Wheel of History,Biography,Arabic,Navahind Pub.,1955,2399
94,BK00094,Ralph Izzard,The Innocent On Everest,Cultural,Arabic,Hodder & Stoughton,2005,1099
95,BK00095,A.B. Keith,"Religion and Philosophy
of Vedas and Upnishads",Philosophy,Arabic,Harbard University Press,1949,1499
96,BK00096,Abu L-Fazl Allami,A In-I Akbari,Biography,Arabic,"Royal Asiatic Society of
Bengal",1959,899
97,BK00097,Abu L-Fazl Allami,Premoja,Cultural,Arabic,Dhoomi Mal Dharam Das,1997,2099
98,BK00098,R.K. Narayan,Mr. Sampath,Literature,Arabic,Jean De Brunhoff,1966,1999
99,BK00099,Subho Tagore,"Reports of Subho Tagore
Exhibition",Cultural,Arabic,Exhibition Committee,1970,599
100,BK00100,Mr. Acharekar,Rupadarsini,Cultural,Arabic,Rekha Pub.,2002,499
101,BK00101,R.V. Jagirdar,"Drama In Sanaskrit
Literature",Literature,Arabic,Popular Book Depot.,2013,1299
102,BK00102,P.G. Deshpande,Gandhiana,Historical Fiction,Arabic,Navajivan Pub.,1997,1199
103,BK00103,International Art Exhibition,Roopa Lekha,Cultural,Arabic,"The All-Indian Fine Arts &
Crafts Society",2018,2899
104,BK00104,R.K. Narayan,The Financial Expert,Economics,Arabic,Methuen & co. Ltd.,2019,2299
105,BK00105,Anthony Elenjimittan,The Poet of Hindustan,Literature,Arabic,Orient Book Company,1968,1899
106,BK00106,Alexander Campbell,The Heart of Africa,Biography,Arabic,Orient Longmans,1966,1099
107,BK00107,Bharati Sarabhai,Two Women,Literature,Arabic,Hind Kitab,1970,3199
108,BK00108,A.Berriedale Keith,The Sanskrit Drama,Literature,Arabic,Oxford University Press,1992,2299
109,BK00109,Sri Aurobindo,Savitri,Literature,Arabic,Sri Aurbindo Ashram,1974,699
110,BK00110,D. Badri,Painting,Cultural,Arabic,Jean De Brunhoff,1976,399
111,BK00111,Atulananda Chakrabarti,Asoka For The Young,Biography,Arabic,The Good Books Co.,1999,2399
112,BK00112,Gay Hellier,Indian Child Art,Cultural,Arabic,Oxford Press,1999,2599
113,BK00113,Capt. Dhayan Chand,Goal,General,Arabic,Sport & Pastime,1949,399
114,BK00114,Michael Overman,Glimpses of a Great Life,Historical Fiction,Arabic,Gulab Chand Kapur,1962,399
115,BK00115,F. Mary Barr,"Bapu - Conversations &
Correspondence with Mahatma Gandi",Historical Fiction,Arabic,Int. Book House,1961,1299
116,BK00116,Jagdish Sharma,"Mahatma Gandhi A
Descriptive Bibliography",Historical Fiction,Arabic,S. Chand & Co.,1993,2799
117,BK00117,Ishwari Prasad,"The Life And Times of
Humayun",Biography,English,Orient Longmans,2020,799
118,BK00118,S.C. Dube,Indian Village,Society,English,Routledge & Kegan Paul,1962,799
119,BK00119,Sri Prakasa,Annie Besant,Biography,Hindi,Bharatia Vidya,1994,3399
120,BK00120,Radha Kumud Mookerji,"Fundamental Unity of
India",Biography,Hindi,Bharatia Vidya Bhavan,1988,2199
121,BK00121,K.M.Panikkar,"In Two Chinas- Memoirs
of a Diplomat",Biography,Hindi,George Allen & Unwin,1981,1599
122,BK00122,J.Radhakrishnan,Indonesia At A Glance,Biography,Hindi,S. Radhakrishnan,2016,1899
123,BK00123,Shri Ganpat Rai,"Nehru Conquers Russsia
A Pilgrimage for Peace",Biography,Tamil,National Publishers,1994,1899
124,BK00124,A.R. Desai,"Social Background Of
Indian Nationalism",Biography,Tamil,Popular Book Depot,1953,599
125,BK00125,Shakuntala Rao Shastri,Women In The Vedic Age,Fiction,Telugu,Bharatiya Vidya Bhavan,1956,2099
126,BK00126,Chintamony Kar,Classical Indian Sculpture,Cultural,Telugu,"Alec Tiranti,",2005,2699
127,BK00127,B.Pattabhi Sitaramayya,"History of The Indian
National Congress Vol.II (1935-1947)",Biography,Telugu,Padma Publication,1990,599
128,BK00128,B.Pattabhi Sitaramayya,"History of The Indian
National Congress",Biography,Telugu,Padma Publication,1960,1699
129,BK00129,Ranee Chanda,Drawing & Paintings,Cultural,English,Dhoomi Mal Dharam Das,1962,2399
130,BK00130,Sushil Sarkar,Sushil Sarkar Paintings,Cultural,English,Dhoomi Mal Dharam Das,2000,3099
131,BK00131,M.S. Randhawa,"The Art of E.H. Brewster
Achsah Brewster",Cultural,English,Dhoomi Mal Dharam Das,1969,2899
132,BK00132,Nayantara Saghal,Prison & Chocolate Cake,Literature,English,Victor Golancz,1992,1199
133,BK00133,-do-,South Indian Music,Cultural,Tamil,Jean De Brunhoff,1991,1199
134,BK00134,Jagdish Sharma,"Jawaharlal Nehru A
descriptive Bibliography",Historical Fiction,Tamil,S. Chand & co.,1962,799
135,BK00135,Garrett- Mattingly,Renaissance Diplomacy,Biography,Tamil,Jonathan Cape,1966,2299
136,BK00136,Hare Krushna Mahtab,The History of Orissa,Education,Tamil,Lucknow University,1945,1799
137,BK00137,K.B. Jindal,"A History of Hindi
Literature",Literature,Tamil,Kitab Mahal,1978,1399
138,BK00138,Rabindranath Tagore,Farewell My Friend,Literature,Hindi,Jaico pub.,2005,3399
139,BK00139,Lady Hartog,India: New Pattern,Cultural,Hindi,George Allen & Unwin Ltd,2015,699
140,BK00140,E.Blatter. Walter S. Millard,"Some Beautiful Indian
Trees",Cultural,Hindi,"Bombay Natural History
Society",1996,3299
141,BK00141,Mrs. Rhys Davids,"Psalms of the Early
Budhists",Philosophy,Hindi,Luzac & Co.,1979,3499
142,BK00142,"R.C.Majumdar & A.D.
Puwsalker","The Age of Imperial
Kanauj",Fiction,Hindi,Bharatiya Vidya Bhavan,1964,3199
143,BK00143,Prabodh Chandra,Pilgrim's Progress,Cultural,Tamil,Adarsh Pub.,1958,1999
144,BK00144,P.C.Roy,The Mahabharata Vol.II,Fiction,Tamil,Oriental Pub.,1995,2299
145,BK00145,P.C.Roy,The Mahabharata Vol.III,Fiction,English,Oriental Pub.,2007,2499
146,BK00146,P.C.Roy,The Mahabharata Vo.IV,Fiction,English,Oriental Pub.,1942,1399
147,BK00147,Radhakrishnan,"East And West Some
Reflections",Biography,Hindi,George Allen & Unwin,1975,1599
148,BK00148,William L. Holland,"Asian Nationalism & the
West",Biography,Hindi,Macmillan,1965,799
149,BK00149,Theos Bernard,"Philosophical
Foundations of India",Philosophy,Hindi,"Rider & Co, London",1956,1099
150,BK00150,H.A.R. Gibb,"Ibn Battuta Travels in
Asia & Africa",Cultural,Telugu,The Roadway Travellers,1970,3199
151,BK00151,A.Goswami,Indian Temple Sculpture,Cultural,Telugu,A. Goswami,1944,2599
152,BK00152,Bor & Raizada,"Some Beautiful Indian
Climbers & Shrubs",Economics,Telugu,"The Bombay Natural
History Society",1973,699
153,BK00153,S.C. Sarkar,"Hindustan Yearbook and
Who's Who 1956",Fiction,Telugu,Sarkar & sons,1956,1399
154,BK00154,Lakshminath Bezbaroa,"Tales of a grandfather
from Assam",Literature,Telugu,Indian Institute for Culture,1984,899
155,BK00155,Henry C. Hart,New India's Rivers,Education,English,Orient Longmans,2004,1899
156,BK00156,K.M.Munshi,Indian Inheritence,Cultural,English,Bharatiay Vidya Bhavan,1987,2399
157,BK00157,K.M.Munshi,Indian Inheritence Vol.II,Cultural,English,Bharatiya Vidya Bhavan,1986,2699
158,BK00158,A.Bonne,"The Economic
Development of the Middle East",Economics,English,"Routledge & Kegan Pual
lttd .",1990,1999
159,BK00159,B. Prasad,"Foundations of India's
Foreign Policy Vol.. I",Biography,English,Orient Longmans Pub.,1945,599
160,BK00160,James Cameron,Mandarin Red,Cultural,English,"Michael Joseph,London",1966,399
161,BK00161,K.M. Munshi,"Glory that was Gurjara
Desai",Economics,English,Bharatiya Vidya Bhavan,2014,2299
162,BK00162,H.C. Scholberg,"Concise Grammer of
Hindi Language",Education,English,Oxford Press,1943,1499
163,BK00163,Bharatan Kumarappa (ed),"The Indian Literature of
Today- A symposium",Biography,English,I.B.H.,1979,2099
164,BK00164,Lalit Kala Akademi,"Portfolio of Contemporary
Painters",Cultural,English,"Vakil Parbasi, lid",1955,2999
165,BK00165,K.M. Panikkar,"Geographical Factors In
Indian History",Fiction,Hindi,Bharatiya Vidya Bhavan,2011,499
166,BK00166,S.Rant Roy,"The Boatman Boy & Forty
Poems",Literature,Hindi,Prabasi Press,1942,1299
167,BK00167,S.Rant Roy,A Poet of the People,Biography,Hindi,Book Forum,1940,2299
168,BK00168,K.M. Munshi,Indian Inheritance,Cultural,Hindi,Bharatiya Vidya Bhavan,1960,1199
169,BK00169,Govind Das,Five One Act Plays,Literature,Hindi,Progressive Pubs.,1951,2499
170,BK00170,Bhupendra Hooja,"A Life Dedicated
Biography of Govind Das",Biography,Tamil,"Seth Govind Das
Diamond Jubilee Celebrations Committee",1946,799
171,BK00171,Dr. Chandrkant Mehta,"Selected Speeches of
Shri Morarji Desai",Biography,Tamil,Hind Kitabs,1984,2599
172,BK00172,A.G.Atkins,"The Ramayana of
Tulsidas ( 3 Vols.)",Philosophy,Tamil,The Hindustan Times,1984,3099
173,BK00173,Miktaba Zamia Ltd.,Manoranjan Aur Kam,Fiction,Tamil,Calcutta Art Press,2019,2999
174,BK00174,Kudsia Jaidi,Gandhi Baba,Fiction,Telugu,"Hindustani Culture
Society, Ahmadabad",1988,1299
175,BK00175,George.B. Gressey,Asia's Land and Peoples,Cultural,Telugu,Printed in Netherlands,1998,499
176,BK00176,United Nations Publications,Land Reform,Society,Telugu,"United Nations, Dept.of
Economic Affairs",1954,399
177,BK00177,G.D. Khosla,Himalayan Circuit,Cultural,Telugu,Macmittan & Co. Ltd.,1969,799
178,BK00178,Alain Danielou,Northern Indian Music,Cultural,Telugu,Halycon Press,2006,2099
179,BK00179,R.V. Bhangava,"Theory and Working of
Union Finance in India",Economics,English,"George Allen & Unwin
Ltd.",1987,3199
180,BK00180,N.N. Kaul,India and ILO,Biography,English,The Caxton Press Ltd.,1949,1399
181,BK00181,Jag Parvesh Chandra,"India's Socialistic Pattern
of Society",Society,English,Gupta Co.,2003,1699
182,BK00182,Savarkar V.D.,War of Independence,Biography,English,"K.D. Dhawab In Phoencix
Publication",1962,2799
183,BK00183,V.P. Menon,"The Story of the
Integration of the Indian States",Biography,English,Orient Longman,2006,1399
184,BK00184,A.Das Gupta,"Economic & Commercail
Geography",Economics,English,A. Mukherjee & Co. Ltd.,2015,1499
185,BK00185,Theodore L. Shay,"The Legacy of the
Lokamanya",Biography,English,Mukherjee,1956,1199
186,BK00186,Chanam Lal,Hindu America,Philosophy,English,New Book co. Ltd.,1980,1799
187,BK00187,"The Community Projects
Administration","Kurukshetra - A
Sympoisum on Community Development in India",Society,Tamil,Pub. Divisions,1980,2299
188,BK00188,Burhan Ghazal,"Economic & Social
Development in The number states of ""Arab League""",Literature,Arabic,"Gamal Arabi, Cairo",2003,3099
189,BK00189,Homer A. Jack,"The Wit and Wisdom of
Gandhi",Historical Fiction,Tamil,The Beacon Press,1987,2099
190,BK00190,Mr. Rhys Davids,Psalms of the Sisters,Philosophy,Tamil,"Geoffery Cambredge
Oxford University Press",2017,1699
191,BK00191,"Charles Houston & Robert
Bates",The Savage Mountain,Cultural,Tamil,Collins Pub.,1948,799
192,BK00192,K.M. Panikkar,The State & the Citizen,Biography,Tamil,Asia Publishing House,2009,2899
193,BK00193,Tibor Mende,"Conversations with Mr.
Nehru",Biography,Tamil,Secker & Warburg,1960,3099
194,BK00194,George Haddad,"FiftyYears of Modern
Syria & Lebanon",Economics,Tamil,Jean De Brunhoff,1990,599
195,BK00195,Julian Huxley,From An Antique Land,Philosophy,Tamil,Oxford,1946,1899
196,BK00196,M.Zinkin,"Development for Free
Asia",Biography,Hindi,"Chatto & Windus, London",1968,2099
197,BK00197,Nandalal Bose,On Art,Cultural,Hindi,Kalakshetra Pub.,1950,399
198,BK00198,Lanza Del Vasto,Gandhi to Vinoba,Historical Fiction,Hindi,Rider & Co.,1962,2899
199,BK00199,Salim Ali,The Book of Indian Birds,Education,Hindi,"The Bomby Natural
History Society",1980,1999
200,BK00200,H.G. Rawlinson,"Intercourse Between
India & the Western World",Biography,Hindi,"Cambridge University
Press",2007,999
201,BK00201,Nicholas Kaldor,Indian Tax,Cultural,Tamil,"Deptt. Of Economic
Affairs",1956,2199
202,BK00202,Humayun Kabir,The Indian Heritage,Cultural,Tamil,Asia Publishing House,1997,2199
203,BK00203,Surendra Nath Sen,Eighteen Fifty-Seven,Biography,English,Pub. Division,2015,2099
204,BK00204,"International Bank For
Reconstruction & Devel","The Economic
Development of Syria",Economics,English,William B.Dana,2003,1299
205,BK00205,J.J. Languepin,To Kiss High Heaven,Cultural,Hindi,William Kimber,2000,3399
206,BK00206,L.Dudley Stamp,"Asia : A Regional
Economic Geography",Economics,Hindi,Methuen & Co.,1979,3399
207,BK00207,B.Subbarao,The Personality of India,Biography,Hindi,"Faculty of Arts, University
of Baroda",1969,2099
208,BK00208,"Hyderabad State
Committee","The Freedom Struggle in
Hyderabad",Biography,Telugu,"Hyderabad State
Committee",1986,599
209,BK00209,V.P.Menon,"The Transfer of Power in
India",Biography,Telugu,Orient Longmans,1957,2799
210,BK00210,C.W. De Kiewiet,"The Anatomy of South
Africa Misery",Biography,Telugu,Oxford University Press,1993,499
211,BK00211,Leo Kuper,"Passive Ressistence in
South Africa",Biography,Telugu,New Heaven Univ. Press,1957,2799
212,BK00212,Setumadhava Rao Pagdi,"Among the Gonds of
Adilabad",Fiction,Telugu,Popular Book Depot,1984,2699
213,BK00213,Nirmal Kumar Bose,My Days with Gandhi,Historical Fiction,English,Nishana,1967,599
214,BK00214,W.G.Obosrne,"Ranjit Singh (The lion of
the Punjab)",Biography,English,Susil Gupta (India)Ltd.,2008,1499
215,BK00215,Sir H.M.Elliot,Memoirs of Jahangir,Biography,English,Susil Gupta (India)Ltd.,1941,1399
216,BK00216,Sir H.M.Elliot,Aurangzab,Biography,English,Susil Gupta (India)Ltd.,2002,1699
217,BK00217,Sir H.M.Elliot,"Later Moghuls of Khafi
Khan",Fiction,English,Susil Gupta (India)Ltd.,1991,2899
218,BK00218,Sir H.M.Elliot,Akbar,Biography,English,Susil Gupta (India)Ltd.,1998,2699
219,BK00219,Sir H.M.Elliot,Subuktigin,Biography,English,Susil Gupta (India)Ltd.,1955,1699
220,BK00220,Richard Temple,"Shivaji & the Rise of the
Mahrattas",Biography,English,Susil Gupta (India)Ltd.,1964,2999
221,BK00221,Adolf Kaegi,Life in Ancient India,Fiction,English,Susil Gupta (India)Ltd.,1953,2399
222,BK00222,Saint-Hilaire,Hiuen Tsang in India,Cultural,English,Susil Gupta (India)Ltd.,1981,2099
223,BK00223,H.G. Rawlinson,A Garland of Indian Poetry,Literature,Hindi,"Oriental Books, London",2005,2699
224,BK00224,Louis Renou,"The Civiliztion of Ancient
India",Fiction,Hindi,Susil Gupta ( India) Ltd.,1971,3099
225,BK00225,B.R. Misra,"Economic Aspects of The
Indian Constitution",Economics,Hindi,Orient Longmans,1946,1999
226,BK00226,Suresh Ramabhai,Vinoba and His Mission,Biography,Hindi,"Akhil Bharal Sarv Seva
Sangh",1956,599
227,BK00227,M.V. Krishna Rao,Studies in Kautilya,Biography,Hindi,"Kautilya Mandali
Publication",1994,3199
228,BK00228,Surendra .J. Patel,"Agricultural Labourers in
Modern India & Pakistan",Economics,Tamil,Current Book Houn,1992,1999
229,BK00229,H.Stj.B.Philby,Arabian Days,Literature,Tamil,Robert Hale Ltd.,1965,3199
230,BK00230,Robin Fedden,Crusader Castles,Fiction,Tamil,"Art 7 Technics, London",2004,3399
231,BK00231,J.C. Ghosh,Bengali Literature,Literature,Tamil,Oxfrd University Press,1949,2899
232,BK00232,UNESCO,Interrelations of Cultures,Cultural,Telugu,UNESCO Press,2020,1799
233,BK00233,Dr. J.C. Tavadia,Indo-Iranian Studies II,Biography,Telugu,Visva-Bharati,1959,1299
234,BK00234,S.Chandrasekhar,"Hungry People & Empty
Lands",Biography,Telugu,"George Allen & Unwin
Ltd.",1946,3199
235,BK00235,Kaka Kaleikar,To A Gandhian Capitalist,Biography,Telugu,U.S.Mohan Rao,1998,2499
236,BK00236,Sarvepalli Radhakrishnan,Recovery of Faith,Philosophy,Telugu,George Allen & Unwin,1997,2799
237,BK00237,Pyarelal,A Nation Builder At Work.,Biography,English,Navajivan Pub.,1987,3399
238,BK00238,Kaka Kalelkar,Stray Glimpses of Bapu,Historical Fiction,English,Navajivan Pub.,2015,1599
239,BK00239,Kamala S.Dongerkery,"A Journey Through
Toyland",Economics,English,Popular Book Depot,1990,3499
240,BK00240,G.K. Ambady,"The Passion of the
Mahatma Gandhi",Historical Fiction,English,Hoe & Co Madras,2008,3499
241,BK00241,Pyarelal,A Pilgrimage for Peace,Biography,English,Navajivan Pub.,2004,2499
242,BK00242,Krishnadas,"Seven Months With
Mahatma Gandhi",Historical Fiction,English,"Navajivan Publishing
House",1979,899
243,BK00243,S.L. Poplai,"Asia & Africa in The
Modern World",Biography,English,Asia Publishing House,1988,2099
244,BK00244,V.S. Srinivasa Sastri,"Lectures On The
Ramayana",Philosophy,English,Iswanthan Pub.,1955,3299
245,BK00245,Publication Division,"Towards A Responsible
Press",Cultural,English,Pub. Division,1977,1299
246,BK00246,Rajendra Prasad,"Mahatma Gandhi And
Bihar",Historical Fiction,Tamil,Hind Kitabs Ltd.,1989,1299
247,BK00247,Richard B. Gregg,Economics of Khaddar,Fiction,Tamil,Navjivan Pub.,1955,1499
